LOCATION,LAND_AREA,ROAD_ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,Tole,City,City_Tole_Encoded,total_rooms,area_road_interaction,room_age_interaction,LAND_AREA_squared,room_density_squared,PRICE
236,2.3978952727983707,2.6390573296152584,15,3.0,6.0,3.0,2079.0,682,148,13,355,9.0,130.0,18.0,100.0,0.6694214876033059,16.97251102166758
243,2.3978952727983707,2.833213344056216,11,2.5,7.0,5.0,2076.0,108,157,13,357,12.0,160.0,60.0,100.0,1.190082644628099,17.989897843244528
190,2.3978952727983707,2.6390573296152584,15,2.0,4.0,3.0,2075.0,61,99,13,349,7.0,130.0,42.0,100.0,0.4049586776859504,17.553180200057167
116,2.3978952727983707,3.044522437723423,24,2.5,6.0,3.0,2078.0,73,21,10,62,9.0,200.0,27.0,100.0,0.6694214876033059,18.064005814299346
462,2.3978952727983707,2.6390573296152584,11,2.5,7.0,4.0,2073.0,819,389,13,398,11.0,130.0,88.0,100.0,1.0,17.129696599000436
224,2.3978952727983707,2.70805020110221,4,2.5,5.0,5.0,2076.0,362,135,10,140,10.0,140.0,50.0,100.0,0.8264462809917354,17.370858648025116
315,2.3978952727983707,3.044522437723423,20,2.5,6.0,5.0,2070.0,848,232,10,203,11.0,200.0,121.0,100.0,1.0,17.65496289206296
191,2.3978952727983707,0.0,4,2.5,5.0,4.0,2075.0,1388,100,10,117,9.0,0.0,54.0,100.0,0.6694214876033059,17.249497794707484
224,2.3978952727983707,2.772588722239781,31,3.0,6.0,5.0,2057.0,17,135,10,140,11.0,150.0,264.0,100.0,1.0,17.296750678069195
479,2.3978952727983707,2.1972245773362196,4,6.5,8.0,5.0,2079.0,862,407,10,329,13.0,80.0,26.0,100.0,1.3966942148760333,17.034386422832473
70,2.3978952727983707,2.833213344056216,16,2.5,5.0,3.0,2077.0,1012,329,10,275,8.0,160.0,32.0,100.0,0.5289256198347108,17.370858648025116
353,2.3978952727983707,2.772588722239781,20,2.5,6.0,5.0,2076.0,1197,272,10,233,11.0,150.0,55.0,100.0,1.0,17.453096744006448
131,2.3978952727983707,3.258096538021482,20,2.5,6.0,4.0,2078.0,1313,36,13,340,10.0,250.0,30.0,100.0,0.8264462809917354,17.6867115897055
