Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized,area_per_floor,total_built_area,floor_area_ratio,floor_price_premium,floor_price_premium_scaled,floor_city_interaction,floor_city_premium,price_per_area,city_road_interaction,Price_Log,Price_Original
2.5,4.0,15.0,0,1,0,1,0,0,1.6,10.0,0.625,25775471.698113207,1.2840254166877414,2.5,25775471.698113207,7250000.0,1,17.182806422433504,28999999.999999948
2.0,8.0,12.0,0,1,0,0,0,1,4.0,16.0,0.25,37939361.70212766,1.2214027581601699,2.0,37939361.70212766,3375000.0,0,17.11134746100564,26999999.999999993
3.5,3.2,13.0,0,1,0,0,0,1,0.9142857142857144,11.200000000000001,1.09375,36714285.71428572,1.4190675485932573,3.5,36714285.71428572,11250000.0,0,17.399029524198163,36000000.000000045
3.0,4.6875,12.0,0,1,0,0,1,0,1.5625,14.0625,0.64,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5333333.333333333,0,17.034386422832473,24999999.999999963
3.0,4.2,19.68504,0,1,0,0,0,1,1.4000000000000001,12.600000000000001,0.7142857142857143,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,8214285.714285714,0,17.356469910987094,34499999.99999998
2.0,4.0,14.0,0,1,0,1,0,0,2.0,8.0,0.5,37939361.70212766,1.2214027581601699,2.0,37939361.70212766,6500000.0,1,17.073607134447293,25999999.999999985
3.0,5.1,14.0,0,1,0,1,0,0,1.7,15.299999999999999,0.5882352941176471,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6235294.117647059,1,17.274976879196945,31799999.999999985
3.0,6.0,13.0,0,1,0,1,0,0,2.0,18.0,0.5,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,10000000.0,1,17.909855136853043,60000000.0000001
2.5,5.0,13.0,0,1,0,1,0,0,2.0,12.5,0.5,25775471.698113207,1.2840254166877414,2.5,25775471.698113207,8000000.0,1,17.50439003707821,39999999.999999985
2.75,8.0,13.0,0,1,0,1,0,0,2.909090909090909,22.0,0.34375,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,4750000.0,1,17.453096744006448,37999999.99999996
3.0,3.0,14.0,0,1,0,0,0,1,1.0,9.0,1.0,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5666666.666666667,0,16.648723960844016,16999999.999999974
4.0,9.0,8.0,0,1,0,1,0,0,2.25,36.0,0.4444444444444444,37466000.0,1.4918246976412703,4.0,37466000.0,8888888.888888888,1,18.197537205138154,79999999.99999988
3.0,4.0,13.0,0,1,0,1,0,0,1.3333333333333333,12.0,0.75,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5750000.0,1,16.951004817371683,22999999.999999974
3.0,9.5,20.0,0,1,0,1,0,0,3.1666666666666665,28.5,0.3157894736842105,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7368421.052631579,1,18.064005814299346,69999999.99999991
3.0,5.5,12.0,0,0,1,0,1,0,1.8333333333333333,16.5,0.5454545454545454,34629726.06117021,1.3498588075760032,0.0,0.0,4545454.545454546,0,17.034386422832473,24999999.999999963
1.0,4.0,13.0,0,1,0,1,0,0,4.0,4.0,0.25,14203703.703703703,1.1051709180756477,1.0,14203703.703703703,2875000.0,1,16.257857680289998,11500000.000000019
3.0,4.375,13.0,0,1,0,0,1,0,1.4583333333333333,13.125,0.6857142857142857,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7428571.428571428,0,17.296750678069195,32499999.999999955
2.5,2.5,12.0,0,0,1,1,0,0,1.0,6.25,1.0,25775471.698113207,1.2840254166877414,0.0,0.0,7080000.0,0,16.68907525404123,17700000.000000007
2.0,10.0,20.0,0,0,1,1,0,0,5.0,20.0,0.2,37939361.70212766,1.2214027581601699,0.0,0.0,7000000.0,0,18.064005814299346,69999999.99999991
2.75,5.0,20.0,0,1,0,0,0,1,1.8181818181818181,13.75,0.55,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,3500000.0,0,16.677711496036597,17499999.999999985
