Price,Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized
37000000,2.75,5.125,13.0,0,1,0,1,0,0
36000000,2.75,7.5,20.0,0,1,0,0,0,1
12500000,1.0,3.0,20.0,0,0,1,0,1,0
19500000,2.5,3.25,20.0,0,0,1,0,1,0
22000000,2.5,3.5,20.0,0,0,1,0,1,0
21500000,2.5,4.0,20.0,0,0,1,0,1,0
19500000,2.5,3.5,20.0,0,0,1,0,1,0
19000000,2.5,3.0,13.0,0,0,1,0,1,0
18000000,2.5,3.0,13.0,0,0,1,0,1,0
37000000,3.0,5.4375,12.0,0,1,0,0,1,0
34000000,3.0,4.0,12.0,0,1,0,0,1,0
26000000,3.0,4.125,16.0,0,1,0,0,1,0
22000000,2.75,6.5,10.0,0,1,0,0,0,1
23000000,2.75,4.0,10.0,0,1,0,0,0,1
57500000,2.75,6.25,12.0,0,1,0,1,0,0
90000000,2.75,10.0,20.0,0,1,0,0,0,1
17000000,2.5,4.0,10.0,0,1,0,1,0,0
12500000,1.5,3.25,13.0,0,0,1,0,1,0
45000000,3.0,11.0,22.0,0,1,0,0,0,1
12500000,1.5,3.0,13.0,0,0,1,0,1,0
19000000,2.5,3.5,13.0,0,0,1,0,1,0
32000000,2.75,10.0,20.0,0,1,0,0,0,1
15500000,1.5,4.0,20.0,0,1,0,0,1,0
35000000,2.75,4.090577063550037,20.0,0,0,1,0,0,1
23000000,2.75,4.62527392257122,20.0,0,1,0,0,0,1
16500000,5.0,3.506208911614317,40.0,0,0,1,1,0,0
24500000,2.0,3.0,16.0,0,1,0,0,1,0
17000000,3.0,3.0,14.0,0,1,0,0,0,1
28500000,2.75,5.5,20.0,0,1,0,0,0,1
21500000,2.75,3.5,13.0,0,0,1,0,1,0
12500000,2.0,5.0,16.0,0,0,1,1,0,0
32500000,2.75,4.5,20.0,0,1,0,1,0,0
22000000,2.5,4.0,10.0,0,0,1,0,1,0
17000000,3.0,3.1,20.0,0,1,0,1,0,0
11000000,1.5,2.75,13.0,0,0,1,0,1,0
13000000,1.5,3.0,13.0,0,0,1,0,1,0
42500000,5.0,5.3125,29.0,0,1,0,0,0,1
50000000,3.0,80.0,20.0,0,1,0,1,0,0
30000000,3.0,5.0,14.0,0,1,0,0,1,0
31500000,3.0,4.3,12.0,0,0,1,1,0,0
18000000,3.0,3.1875,18.0,0,0,1,0,0,1
57500000,3.0,8.0,20.0,0,1,0,1,0,0
60000000,2.0,9.5,15.0,0,1,0,1,0,0
35000000,2.5,3.625,12.0,0,1,0,1,0,0
25000000,4.0,2.5,20.0,0,1,0,1,0,0
15500000,2.0,3.5,13.0,0,1,0,1,0,0
75000000,5.0,9.0,12.0,0,1,0,1,0,0
75000000,3.0,10.0,16.0,0,1,0,0,1,0
39500000,4.0,6.0,18.0,0,1,0,1,0,0
37000000,3.0,4.0,20.0,0,1,0,1,0,0
25600000,4.0,4.0,10.0,0,0,1,0,1,0
36500000,2.0,6.25,20.0,0,1,0,1,0,0
22500000,3.0,3.25,14.0,0,1,0,1,0,0
23500000,3.0,3.0,15.0,0,1,0,1,0,0
22500000,3.0,3.1875,15.0,0,1,0,0,1,0
32500000,3.0,4.0,15.0,0,1,0,0,1,0
42500000,3.0,12.0,15.0,0,1,0,1,0,0
11000000,2.0,4.0,3.0,0,1,0,0,0,1
42500000,2.0,5.0,12.0,0,1,0,1,0,0
35000000,2.0,6.0,18.0,0,1,0,0,1,0
37000000,3.0,4.0,20.0,0,1,0,1,0,0
