Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized,Price_Log,Price_Original
3.0,7.5,18.0,1,0,0,0,0,1,17.370858648025116,35000000.000000015
3.0,3.1,13.0,0,1,0,1,0,0,16.806230339945976,19900000.00000001
2.75,6.2,32.8084,0,1,0,0,1,0,17.822843761378564,55000000.000000075
3.0,4.0,18.0,0,1,0,1,0,0,17.32705602664604,33500000.0
3.0,14.0,20.0,0,1,0,1,0,0,18.005165315142214,65999999.999999985
3.0,3.2,13.0,0,1,0,0,0,1,16.785925074816024,19499999.99999998
1.0,3.0,13.0,0,1,0,0,1,0,16.341239282272525,12499999.999999985
2.0,3.1,15.0,0,1,0,0,1,0,16.951004817371683,22999999.999999974
3.0,5.0,20.0,0,1,0,1,0,0,17.32705602664604,33500000.0
3.0,4.0,13.0,0,1,0,0,1,0,17.182806422433504,28999999.999999948
3.0,19.0,20.0,0,1,0,0,1,0,17.822843761378564,55000000.000000075
3.0,3.0,13.0,0,1,0,0,0,1,16.705882371415992,17999999.999999985
3.0,7.1,14.0,1,0,0,0,0,1,17.370858648025116,35000000.000000015
2.75,4.5,20.0,0,1,0,1,0,0,17.296750678069195,32499999.999999955
3.0,5.4375,12.0,0,1,0,0,1,0,17.426428497635523,36999999.99999993
2.75,6.75,20.0,0,1,0,0,1,0,17.399029524198163,36000000.000000045
2.5,3.5,20.0,0,0,1,0,1,0,16.906553056777135,22000000.000000007
3.0,4.0,12.0,0,1,0,1,0,0,16.951004817371683,22999999.999999974
1.5,3.8125,13.0,0,0,1,0,1,0,16.341239282272525,12499999.999999985
2.75,8.0,15.0,0,1,0,0,1,0,17.822843761378564,55000000.000000075
2.75,3.75,10.0,0,1,0,1,0,0,17.182806422433504,28999999.999999948
3.0,4.0,15.0,0,1,0,1,0,0,17.21001898503268,29800000.0
2.75,4.0,15.0,0,1,0,0,0,1,16.811242881518265,20000000.000000015
3.0,3.5,13.0,0,0,1,0,1,0,16.785925074816024,19499999.99999998
3.0,6.5,12.0,0,0,1,0,1,0,17.370858648025116,35000000.000000015
3.0,17.0,15.0,0,1,0,1,0,0,18.09217669086922,72000000.00000012
3.0,4.0,13.0,0,1,0,1,0,0,17.129696599000436,27500000.000000015
2.0,3.5,13.0,0,1,0,0,1,0,16.860033043306743,20999999.99999998
2.0,12.0,16.0,0,1,0,1,0,0,17.989897843244528,65000000.00000007
3.0,4.5,10.0,0,0,1,0,0,1,16.88356353960952,21500000.00000001
2.0,7.0,15.0,0,1,0,0,1,0,17.370858648025116,35000000.000000015
3.0,7.75,13.0,0,1,0,1,0,0,17.588271519047417,43499999.99999997
2.0,14.0,16.0,0,1,0,1,0,0,17.909855136853043,60000000.0000001
2.75,5.4375,30.0,0,1,0,1,0,0,16.906553056777135,22000000.000000007
4.0,4.75,12.0,0,1,0,0,0,1,17.034386422832473,24999999.999999963
1.5,4.0,20.0,0,1,0,0,1,0,16.5563506464056,15499999.999999987
4.0,11.0,13.6,0,0,1,1,0,0,17.553180200057167,42000000.00000003
3.0,5.0,13.0,0,1,0,0,1,0,17.147715103853763,27999999.99999999
3.0,3.25,14.0,0,1,0,1,0,0,16.929025911619092,22500000.00000001
1.0,11.0,15.011155,0,0,1,0,0,1,17.479072229734946,39000000.00000001
3.0,3.1,15.0,0,1,0,0,0,1,16.677711496036597,17499999.999999985
3.0,3.1875,18.0,0,0,1,0,0,1,16.705882371415992,17999999.999999985
2.75,4.25,13.0,0,1,0,0,1,0,16.906553056777135,22000000.000000007
3.0,80.0,20.0,0,1,0,1,0,0,17.72753358339242,50000000.00000009
3.0,4.0,26.0,0,1,0,0,1,0,17.129696599000436,27500000.000000015
2.0,3.1,18.0,0,1,0,0,0,1,16.860033043306743,20999999.99999998
4.0,7.0,20.0,0,1,0,0,0,1,17.822843761378564,55000000.000000075
4.0,6.3,12.0,0,1,0,0,0,1,17.356469910987094,34499999.99999998
1.0,3.9375,13.0,0,0,1,0,1,0,16.380459992348886,13000000.000000013
2.75,8.0,14.0,0,1,0,1,0,0,17.453096744006448,37999999.99999996
3.0,4.0,13.0,0,1,0,1,0,0,17.0926553286923,26499999.999999996
3.0,6.5,15.0,0,1,0,1,0,0,17.989897843244528,65000000.00000007
